# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1024
#@/user_id	fec1feb1-d1b4-4755-bae8-a2e52b553c81
ktn 	吃	c=1 d=0.847894 t=1024
ktr 	哦	c=1 d=0.316637 t=1024
ktwu 	咱们	c=1 d=0.045275 t=1024
kvjf 	哪里	c=2 d=1.02614 t=1024
kwsv 	只要	c=1 d=0.0450492 t=1024
l 	国	c=1 d=0.174645 t=1024
lflf 	团团	c=4 d=1.24338 t=1024
lfn 	转	c=1 d=0.0958472 t=1024
lft 	团	c=2 d=1.75181 t=1024
lfyw 	默认	c=1 d=0.588605 t=1024
lh 	四	c=1 d=0.104874 t=1024
lk 	加	c=1 d=0.479505 t=1024
lkd 	回	c=2 d=1.23728 t=1024
lkfc 	回去	c=4 d=2.65088 t=1024
lkpe 	回家	c=1 d=1 t=1020
lnsh 	思想	c=1 d=0.0411719 t=1024
lp 	边	c=1 d=0.332871 t=1024
lpk 	连	c=1 d=0.273898 t=1024
lpru 	连接	c=2 d=0.563113 t=1024
lrjf 	暂时	c=1 d=0.752014 t=1024
ltif 	输入法	c=2 d=1.6239 t=1024
lwty 	输入	c=8 d=5.49782 t=1024
mg 	同	c=2 d=0.101348 t=1024
mguj 	同意	c=1 d=0.628135 t=1024
mmbw 	删除	c=3 d=0.986003 t=1024
mmm 	山	c=1 d=0.162026 t=1024
mmmm 	山	c=1 d=0.172907 t=1024
mqcy 	购	c=1 d=0.67368 t=1024
mqft 	刚才	c=1 d=0.308819 t=1024
mqq 	网	c=1 d=0.299692 t=1024
mquh 	网站	c=3 d=0.585335 t=1024
mqxt 	网络	c=1 d=0.379083 t=1024
mt 	几	c=1 d=0.677057 t=1024
mtrh 	几年	c=1 d=0.904837 t=1024
mtyn 	账户	c=2 d=0.302224 t=1024
nfbm 	导出	c=3 d=0.977343 t=1024
ngc 	屋	c=1 d=0.453845 t=1024
nguk 	情况	c=1 d=0.650509 t=1024
nj 	慢	c=1 d=0.852144 t=1024
nnxc 	已经	c=1 d=0.491644 t=1024
ntfc 	发动	c=1 d=0.142274 t=1024
ntg 	性	c=1 d=0.0880368 t=1024
ntk 	属	c=1 d=0.0875977 t=1024
nyrg 	以后	c=1 d=0.229925 t=1024
nyw 	以	c=1 d=0.0205478 t=1024
nyyl 	以为	c=1 d=1 t=1003
o 	为	c=3 d=0.935649 t=1024
oryl 	数据库	c=1 d=0.111917 t=1024
ovrn 	数据	c=1 d=0.105399 t=1024
p 	这	c=13 d=4.19857 t=1024
pbma 	字典	c=1 d=0.847894 t=1024
pd 	害	c=1 d=0.740818 t=1024
peg 	宜	c=1 d=0.790571 t=1024
pei 	农	c=1 d=0.802519 t=1024
pflg 	赛车	c=1 d=0.313486 t=1024
pfq 	完	c=1 d=0.65377 t=1024
pgjf 	定时	c=1 d=1 t=1024
pgn 	写	c=2 d=0.368118 t=1024
pgpg 	宝宝	c=1 d=0.0437178 t=1024
pgpg 	👶	c=1 d=0.04573 t=1024
pndc 	密码	c=3 d=0.451605 t=1024
ppue 	之前	c=1 d=0.767206 t=1024
pubb 	裤子	c=1 d=0.666977 t=1024
pugm 	实现	c=1 d=0.235746 t=1024
puv 	初	c=1 d=0.136014 t=1024
pvuf 	安装	c=8 d=2.53431 t=1024
pvwg 	安全	c=2 d=0.553639 t=1024
pw 	空	c=2 d=0.865954 t=1024
pwst 	空格	c=1 d=0.794534 t=1024
pyj 	神	c=3 d=2.04528 t=1024
pyll 	福田	c=1 d=0.307279 t=1024
pyln 	禤	c=1 d=0.0731678 t=1024
pywg 	禤剑	c=4 d=0.572983 t=1024
q 	我	c=22 d=4.68912 t=1024
qedf 	解压	c=1 d=0.10435 t=1024
qg 	钱	c=3 d=0.112334 t=1024
qhlg 	外国	c=1 d=0.153355 t=1024
qhmq 	外网	c=1 d=0.283654 t=1024
qi 	乐	c=1 d=0.0368832 t=1024
qjsa 	象棋	c=1 d=0.631284 t=1024
qk 	名	c=1 d=0.161218 t=1024
qkmm 	名册	c=1 d=0.160414 t=1024
qkpb 	名字	c=1 d=0.0614212 t=1024
qkqp 	逸	c=2 d=0.940033 t=1024
qn 	包	c=3 d=1.36157 t=1024
qnp 	馆	c=1 d=1 t=1024
qnr 	饭	c=1 d=0.843665 t=1024
qq 	多	c=3 d=1.97316 t=1024
qqit 	多少	c=1 d=0.70822 t=1024
qqwt 	多余	c=1 d=0.548812 t=1024
qtfj 	猪	c=1 d=0.860708 t=1024
qtuj 	儿童	c=1 d=1 t=1024
qtyp 	狼毫	c=1 d=0.0672055 t=1024
qyyg 	鸟语	c=1 d=0.826959 t=1024
r 	的	c=27 d=8.09707 t=1024
ra 	找	c=1 d=0.970446 t=1024
rawk 	搭	c=1 d=0.198891 t=1024
rcn 	把	c=1 d=0.254107 t=1024
rcp 	返	c=1 d=0.540641 t=1024
rdx 	拢	c=1 d=0.463013 t=1024
resc 	授权	c=1 d=0.279431 t=1024
return 	⏎	c=1 d=0.551563 t=1024
rfkg 	挂号	c=1 d=0.66365 t=1024
rg 	后	c=1 d=0.214381 t=1024
rgck 	后台	c=3 d=0.430995 t=1024
rgw 	兵	c=3 d=2.05553 t=1024
rgxf 	后续	c=1 d=0.249075 t=1024
rh 	年	c=1 d=0.615697 t=1024
rhf 	看	c=5 d=2.27511 t=1024
rhgk 	牛逼	c=1 d=0.0232837 t=1024
rhrh 	看看	c=1 d=0.349938 t=1024
rjbc 	提取	c=1 d=0.29671 t=1024
rjfg 	捏	c=1 d=0.67032 t=1024
rjny 	担心	c=1 d=0.0434998 t=1024
rjuq 	提交	c=2 d=1.5543 t=1024
rjwa 	提供	c=1 d=0.341298 t=1024
rkwt 	操作	c=1 d=0.565525 t=1024
rnr 	扬	c=1 d=0.164474 t=1024
rpv 	按	c=2 d=1.22179 t=1024
rs 	打	c=1 d=0.323033 t=1024
rsqn 	打包	c=2 d=0.636768 t=1024
rttp 	托管	c=1 d=0.226502 t=1024
ruuj 	拼音	c=1 d=0.755784 t=1024
rvtf 	执行	c=2 d=0.235428 t=1024
rxpg 	指定	c=4 d=1.0489 t=1024
ryc 	撤	c=1 d=0.535261 t=1024
s 	要	c=10 d=3.5834 t=1024
safn 	模块	c=1 d=0.683861 t=1024
scbv 	权限	c=1 d=0.127454 t=1024
sfy 	村	c=1 d=0.166127 t=1024
sfyk 	标识	c=1 d=0.0682212 t=1024
sg 	本	c=1 d=0.425283 t=1024
sgfb 	本地	c=1 d=0.412714 t=1024
sglf 	配置	c=19 d=10.3183 t=1024
sgyy 	西方	c=1 d=0.0668703 t=1024
shcf 	相对	c=1 d=0.704688 t=1024
shmg 	相同	c=1 d=0.83527 t=1024
shn 	想	c=1 d=0.228779 t=1024
shud 	相关	c=1 d=0.647265 t=1024
shyi 	相应	c=1 d=0.0833256 t=1024
sipv 	档案	c=2 d=0.609967 t=1024
sjyq 	查询	c=1 d=0.0675424 t=1024
skce 	可能	c=1 d=0.375311 t=1024
skny 	可以	c=13 d=3.11822 t=1024
sov 	楼	c=1 d=0.311923 t=1024
sqtf 	构造	c=1 d=0.0746459 t=1024
sqvf 	构建	c=1 d=0.0753961 t=1024
sqyn 	构词	c=1 d=0.657047 t=1024
ssf 	禁	c=1 d=0.287941 t=1024
st 	格	c=1 d=0.810584 t=1024
su 	样	c=5 d=1.40003 t=1024
t 	和	c=2 d=1.05527 t=1024
tayq 	彻底	c=1 d=0.519442 t=1024
tdut 	知道	c=4 d=0.741731 t=1024
tf 	行	c=2 d=1.72195 t=1024
tfq 	先	c=2 d=1.46767 t=1024
tfut 	街道	c=1 d=0.162838 t=1024
tfwx 	自动化	c=1 d=0.236928 t=1024
tfyn 	造词	c=1 d=0.66034 t=1024
tghk 	重点	c=1 d=0.946485 t=1024
tguq 	生效	c=1 d=0.774916 t=1024
tgus 	重新	c=4 d=1.76036 t=1024
tgut 	生产	c=8 d=4.16541 t=1024
thfc 	自动	c=2 d=0.66365 t=1024
thgj 	处理	c=5 d=3.66297 t=1024
thgk 	自带	c=1 d=0.591555 t=1024
thnn 	自己	c=2 d=0.415623 t=1024
thsg 	版本	c=9 d=2.97304 t=1024
thtc 	怎么	c=4 d=1.38944 t=1024
tjrm 	复制	c=2 d=0.257627 t=1024
tkyc 	程序	c=5 d=3.87173 t=1024
tlpv 	备案	c=3 d=0.752717 t=1024
todm 	翻页	c=4 d=2.65584 t=1024
tp 	管	c=3 d=1.58152 t=1024
tpgj 	管理	c=5 d=1.33886 t=1024
tpn 	管	c=1 d=0.941765 t=1024
tqpg 	稳定	c=3 d=2.06111 t=1024
trgq 	特殊	c=1 d=0.562705 t=1024
ttew 	😊	c=1 d=0.0330412 t=1024
tve 	很	c=2 d=1.0061 t=1024
tvqq 	很多	c=1 d=0.242926 t=1024
twkg 	符号	c=3 d=1.80936 t=1024
tyg 	往	c=1 d=0.690734 t=1024
tyip 	入党	c=4 d=1.1489 t=1024
tykm 	程序员	c=3 d=2.49412 t=1024
tyrg 	往后	c=1 d=0.70822 t=1024
udh 	着	c=1 d=0.037068 t=1024
udiy 	关注	c=1 d=0.951229 t=1024
udqv 	关键	c=1 d=0.618783 t=1024
ue 	前	c=1 d=0.694197 t=1024
uedm 	前面	c=1 d=0.45612 t=1024
uej 	前	c=2 d=0.781684 t=1024
ufy 	装	c=1 d=0.606531 t=1024
ujbb 	单子	c=1 d=0.687289 t=1024
ukjg 	问题	c=7 d=2.45924 t=1024
uklf 	部署	c=8 d=3.60383 t=1024
ukn 	总	c=1 d=0.0409665 t=1024
umkk 	端口	c=4 d=1.76164 t=1024
umqt 	疯狂	c=1 d=0.310367 t=1024
uqf 	将	c=1 d=0.122456 t=1024
uqw 	次	c=1 d=0.136695 t=1024
usfu 	新增	c=2 d=0.21062 t=1024
usiy 	新浪	c=1 d=0.140858 t=1024
usr 	新	c=3 d=1.70283 t=1024
usvf 	新建	c=1 d=0.209088 t=1024
uthp 	道	c=1 d=0.0333733 t=1024
uwtl 	准备	c=2 d=1.75201 t=1024
uy 	六	c=1 d=0.13466 t=1024
v 	发	c=2 d=1.56578 t=1024
vb 	好	c=4 d=2.38581 t=1024
vb 	🆗	c=1 d=0.650509 t=1024
vb 	👌	c=1 d=0.878095 t=1024
vbth 	好处	c=1 d=0.246597 t=1024
vbwq 	好像	c=1 d=0.640824 t=1024
vcb 	即	c=1 d=0.0845849 t=1024
ve 	奶	c=1 d=0.1764 t=1024
vebm 	退出	c=1 d=1 t=1024
